series_description,frequency,cleaned_series_names,comment,,,,Index
CINE_segmented_SAX_b7,13,,,,,,
CINE_segmented_SAX_b5,13,,,,,,
DE_overview_SAX_4Ch_2Ch_3Ch_MAG,13,LGE_SAX_LAX,,,,,
tfl2d_25_t1_2SA,13,,,,,,
TRUFI_CINE_SA,13,,,,,,
tfl20_t1_psir_seg_iPAT_DE_sa_MAG,13,LGE_SAX,,,,,
CINE_segmented_SAX_b4,13,,,,,,
DefineLAX_na_4Ch_2Ch_3Ch,12,,,,,,
first_pass__6sl_60m,12,,,,,,
DHE_3D_BH_2-slabs_3_ch,12,,,,,,
tf2d18_retro_iPAT_12slices_lv,12,,,,,,
DE_overview_4Ch_3Ch_SAX_2Ch_PSIR,12,LGE_SAX,,,,,
tfl15_t1_psir_seg_iPAT-3chv_PSIR,12,LGE_3CH,,,,,
Trufi_Cine_prospectief_SAX_b4,12,,,,,,
dynamic_,12,,,,,,
AMC_HART___SURVEY,12,,,,,,
2D_BOLUSTRAK,12,,,,,,
tfi_single-shot_SA_doorademen,12,,,,,,
Trufi_Cine_prospectief_SAX_b5,12,,,,,,
short_axis_delayed_ecg_exp_MAG,12,LGE_SAX,,,,,
tf2d15_retro-triggered_2CV,12,,,,,,
DE_overview_SAX_4Ch_3Ch_2Ch_MAG,12,LGE_SAX_LAX,,,,,
tf2d_rt_1slice_NonTrig_4ch,12,,,,,,
tfi_single-shot_(2-3-4-_kamer)_doorademen,12,,,,,,
BTFE-SA.,12,,,,,,
tf2d_rt_1slice_3CH_CINE,12,,,,,,
Dynamic_Stress_SAX_b2s,12,,,,,,
TRUFI_SA_CINE_12s-4BH_Inspiratie,12,,,,,,
dynamic_test__stress,12,,,,,,
tse_9_db_t1,12,,X,,,,
DE_overview_SAX_4Ch_3Ch_2Ch_PSIR,12,LGE_SAX_LAX,,,,,
CINE_segmented_SAX_b9,12,,,,,,
tf2d_rt_REAL_TIME-3ch,12,,,,,,
tf2d22_retro_iPAT-SA_OUD,12,,,,,,
Dynamic_Stress_SAX_b3s,12,,,,,,
DE_overview_4Ch_3Ch_SAX_2Ch_MAG,12,LGE_SAX_LAX,,,,,
Trufi_Cine_prospectief_SAX_b6,12,,,,,,
TFE_SA,12,,,,,,
Dynamic_Rust_Perfusie_doorademen_SAX_b1s,12,,,,,,
tf2d_rt_REAL_TIME-4ch,12,,,,,,
tfl15_t1_psir_seg_iPAT-3chv_MAG,12,LGE_3CH,,,,,
short_axis_delayed_ecg_exp_PSIR,12,LGE_SAX,,,,,
T2_STIR_BB,12,,,,,,
tfl15_t1_psir_seg_iPAT-2CHV_MAG,12,LGE_2CH,,,,,
sBTFE_BH_2CH_LI_(20_phases),12,,,,,,
T2_TSE_256_12s_SA_spair,12,,,,,,
Dynamic_Rust_Perfusie_doorademen_SAX_b1s_MOCO,12,,,,,,
tf2d_LA_Rest,12,,,,,,
___________TFE_GRID_BH,12,,,,,,
tfl15_t1_psir_seg_iPAT-2CHV_PSIR,12,LGE_2CH,,,,,
tf2d_rt_1slice_NonTrig_2ch,11,,,,,,
tfl20_t1_late_enh_korte_as_10_MIN_MAG,11,LGE_SAX,,,,,
tfl2d_25_t1_TI250,11,,,,,,
tfl20_t1_late_enh_korte_as_10_MIN_PSIR,11,LGE_SAX,,,,,
CINE_segmented_SAX_InlineVF,11,,,,,,
tfl25_t1_segmented_iPAT_sa,11,,,,,,
Volume-RPS,11,,,,,,
Trufi_Cine_Realtime_LAX_3Ch,11,,,,,,
cine_2_shots_SAX,11,,,,,,
tfl2d_25_t1-3ch-_DHE(BREATH-HELD),11,,,,,,
Dynamic_Stress_SAX_b1s,11,,,,,,
fl3d-sag_pre,11,,,,,,
CV_precontrast_hybridmolli_SA_met_scan,11,,,,,,
tfi65_psir_4sl-2bh-4ch+sat_slab_over_myelum_PSIR,11,,,,,,
cine_fl2d7_retro_iPAT,11,,,,,,
DefineLongaxis_2Ch_4Ch_3Ch,11,,,,,,
Trufi_Cine_prospectief_SAX_b9,11,,,,,,
Trufi_Cine_prospectief_SAX_b8,11,,,,,,
lge_2_cycles_SAX_PSIR,11,LGE_SAX,,,,,
DHE_3D_BH_2-slabs_2_ch,11,,,,,,
t1_db_korte_as_6_sl_trig1,11,,,,,,
tfi65_psir_4sl-2bh-4ch+sat_slab_over_myelum_MAG,11,,,,,,
Trufi_Cine_Realtime_LAX_2Ch,11,,,,,,
TFE_BH,11,,,,,,
Trufi_Cine_4ch_4Ch,11,,,,,,
2D_Delayed_3CH,11,LGE_3CH,,,,,
RV-STUDY-IGOR_LOC-BH-VATEN,11,,,,,,
Trufi_Cine_prospectief_SAX_b10,11,,,,,,
short_axis_cine_ecg_trigger,11,,,,,,
Trufi_Cine_Realtime_LAX_4Ch,11,,,,,,
T2W_stir_korte_as_(indien_nodig),11,,,,,,
lge_2_cycles_SAX_MAG,11,LGE_SAX,,,,,
tf2d_rt_1slice_NonTrig_3ch,11,,,,,,
Dynamic_Stress_SAX_b2s_MOCO,11,,,,,,
CV_precontrast_hybridmolli_mid_SA,11,,,,,,
BTFE_PA-COR,11,,,,,,
T2_TSE_256_12s_SA,11,,,,,,
FLASH_IN_FASE_SA_cine_metaalartefacten,11,,,,,,
TRUFI_SA_CINE_11s-4BH,11,,,,,,
CV_precontrast_hybridmolli_4ch,11,,,,,,
TrueSSFP_3x_locator,11,,,,,,
Trufi_Cine_prospectief_SAX_b7,11,,,,,,
fl3d-cor_post,11,,,,,,
CV_postcontrast_hybridmolli_4ch,10,,,,,,
Dynamic_Rust_Perfusie_doorademen_SAX_b2s,10,,,,,,
tf2d15_retro_CINE_TRA,10,,,,,,
sBTFE_SA_CTR,10,,,,,,
flow_150_Throug_Plane_AorticValve_MAG,10,,,,,,
RV-STUDY-IGOR_FLOW-AV-VALV,10,,,,,,
hart-Groenink_T1-TSE-TRANS,10,,,,,,
tf2d_rt_REAL_TIME_1_slice_SA_doorademen_zonder_trigger,10,,,,,,
haste__tra_db_2bh_iPAT-sa,10,,,,,,
fl3d-cor_pre,10,,,,,,
tf25_t1_rephased_260,10,,,,,,
T2_aSTIR_BB,10,,,,,,
CV_precontrast_hybridmolli_basal_SA,10,,,,,,
BTFE_3CH_LT,10,,,,,,
tf2d22_retro_iPAT-14s-20ph,10,,,,,,
haste__tra_db_2bh_iPAT-cor,10,,,,,,
T2_TSE_256_2chv,10,,,,,,
lv_ejectiefractie,10,,,,,,
CV_postcontrast_hybridmolli_basal_SA,10,,,,,,
AMC_HART___BTFE_msmp,10,,,,,,
CV_precontrast_hybridmolli_4CH,10,,,,,,
cine_2_shots__SAX,10,,,,,,
CV_precontrast_hybridmolli_SA_basaal,10,,,,,,
FALLOT_PROT4CH_SSMP,10,,,,,,
Dynamic_Stress_SAX_b1s_MOCO,10,,,,,,
flow_150_Throug_Plane_AorticValve,10,,,,,,
tfl_first-pass_3sl__iPAT_SAx,10,,,,,,
DE_SAX_MAG,10,LGE_SAX,,,,,
tf2d18_korte_as_cine_10sl+EF,10,,,,,,
FALLOT_PROTQ_FLOW_PA,10,,,,,,
DE_SAX_PSIR,10,LGE_SAX,,,,,
tf2d_rt_REAL_TIME_SAX_non_trigger_100_phases_doorademen,10,,,,,,
Dynamic_Stress_SAX_b3s_MOCO,10,,,,,,
flow_150_Throug_Plane_AorticValve_P,10,,,,,,
Dynamic_Rust_Perfusie_doorademen_SAX_b3s,10,,,,,,
FLASH_3CHV_CINE,10,,,,,,
DE_overview_2Ch_SAX_4Ch_3Ch_PSIR,9,LGE_SAX_LAX,,,,,
CV_precontrast_hybridmolli_SA_mid,9,,,,,,
fl3d-sag_post,9,,,,,,
T2_TSE_256_3chv,9,,,,,,
RV-STUDY-IGOR_flow-aorta,9,,,,,,
DE_High-Res_LAX_2Ch_4Ch_3Ch_MAG,9,LGE_LAX,,,,,
ti_scout,9,,,,,,
tfl2d_25_t1-SA-_DHE(BREATH-HELD),9,,,,,,
fl4_200_flow_aorta,9,,,,,,
Dynamic_Pefusie__Test_doorademen_SAX_b3s_MOCO,9,,,,,,
CINE_segmented_SAX_b11,9,,,,,,
tfl20_t1_late_enh_7_sl_korte_as_MAG,9,LGE_SAX,,,,,
tf25_t1_rephased_290,9,,,,,,
tf2d15_retro-triggered_3CV,9,,,,,,
Dynamic_Rust_Perfusie_doorademen_SAX_b3s_MOCO,9,,,,,,
Dynamic_Pefusie__Test_doorademen_SAX_b1s_MOCO,9,,,,,,
2D_Delayed_SA,9,LGE_SAX,,,,,
Perfusie_rust_3sl,9,,,,,,
Localizer_ROZE_INFUUS,9,,,,,,
Cine_LVOT,9,,,,,,
CV_postcontrast_hybridmolli_SA_mid,9,,,,,,
DE_overview_2Ch_SAX_4Ch_3Ch_MAG,9,LGE_SAX_LAX,,,,,
tfi_single-shot_sa,9,,,,,,
tfl2d_25_t1_DHE(BREATH-HELD)-FS,9,,,,,,
tfi_single-shot_(MET_'SCAN')_14_slices,9,,,,,,
fl4_100-flow-inplane-3ch_P,9,,,,,,
tfi_single-shot_2ch,9,,,,,,
Trufi_Cine_prospectief_SAX_b11,9,,,,,,
trufi_2-kamer,9,,,,,,
DE_overview_LAX_4Ch_3Ch_2Ch_MAG,9,LGE_LAX,,,,,
2D_Delayed_2CH,9,LGE_2CH,,,,,
CV_postcontrast_hybridmolli_mid_SA,9,,,,,,
tfl2d_25_t1_2cycles_4cv,9,,,,,,
Dynamic_Pefusie__Test_doorademen_SAX_b2s_MOCO,9,,,,,,
tfl_sr_dyn_MET_SCAN_3sl_HIGH_RES.,9,,,,,,
Trufi_Cine_SAX,9,,,,,,
trufi_sr_dyn_192_4sl_iPAT-ADENOSINE,9,,,,,,
DE_overview_LAX_4Ch_3Ch_2Ch_PSIR,9,LGE_LAX,,,,,
tse_17_db_t2_FS_SA_SHIM_BOX(12SL),9,,,,,,
sBFFE_RLT,9,,,,,,
tfl2d_25_t1-2ch-_DHE(BREATH-HELD),9,,,,,,
Dynamic_Rust_Perfusie_doorademen_SAX_b2s_MOCO,9,,,,,,
trufi_2-kamer_re-ventrikel,9,,,,,,
3D-DHE-4CHV-BH,9,,,,,,
haste__tra_db_2bh_iPAT-sag,9,,,,,,
LE_PSIR_lange_as,9,LGE_LAX,,,,,
CV_postcontrast_hybridmolli_4CH,9,,,,,,
BH_Cine_SA,9,,,,,,
fl4_100-flow-inplane-3ch,9,,,,,,
BTFE-AO-COR,9,,,,,,
fl4_200_flow_aorta_P,9,,,,,,
DE_High-Res_LAX_2Ch_4Ch_3Ch_PSIR,9,LGE_LAX,,,,,
tfl20_t1_late_enh_7_sl_korte_as_PSIR,9,LGE_SAX,,,,,
tfi65_psir_8sl-4bh-SA_(indien_tijd)_MAG,8,LGE_SAX,,,,,
DE_High-Res_LAX_2Ch_PSIR,8,LGE_2CH,,,,,
tfi_single-shot_4CH,8,,,,,,
Cine_Korte_as,8,,,,,,
Trufisp_Loc,8,,,,,,
PSIR_TFE_BH,8,,,,,,
LE_PSIR_4kamer,8,LGE_4CH,,,,,
ARVD_______AX_PD_BB,8,,,,,,
MIP,8,,,,,,
tfl_sr_dyn_160_3_stacks+ADENOSINE+CONTRAST,8,,,,,,
QF_PUL_150_Inplane,8,,,,,,
PSIR_TFE_BH_3CH_TI_270,8,LGE_3CH,,,,,
CV_postcontrast_hybridmolli_SA_basaal,8,,,,,,
TI_250ms_4ch_4Ch,8,,,,,,
DE_High-Res_LAX_2Ch_MAG,8,LGE_2CH,,,,,
tfi_single-shot_3ch,8,,,,,,
DE_overview_LE_LAX_4Ch_3Ch_2Ch_PSIR,8,LGE_LAX,,,,,
trufi_4-kamer,8,,,,,,
PSIR_TFE_BH_SENSE,8,,,,,,
tf2d15_retro_aorta_cor,8,,,,,,
haste__tra_db_2bh_iPAT,8,,X,,,,
MPR-RPS,8,,,,,,
tfi2d_single-shot_ph_sens,8,LGE_SAX,,,,,
fl4_200_flow-pulm-a,8,,,,,,
ap_ShortT1_6_SLICES__overnemen_met_meas_par._blanco_T1_map_User1,8,,,,,,
DE_seg_high-res_LAX_3Ch_4Ch_2Ch_MAG,8,LGE_LAX,,,,,
IR_TFE_3CH,8,,,,,,
tfi65_psir_8sl-4bh-SA_(indien_tijd)_PSIR,8,LGE_SAX,,,,,
BH_Cine_3CH,8,,,,,,
tf2d15_retro-triggered_4CV,8,,,,,,
tfl2d_25_2_cycles_4CV_PSIR,8,LGE_4CH,,,,,
db_stir_3-kamer,8,,,,,,
FS_T2TSE_LAX_4Ch_3Ch_2Ch,8,,,,,,
tfi_single-shot_2CH_doorademen,8,,,,,,
db_stir_4-kamer,8,,,,,,
tfl2d_25_2_cycles_4CV_MAG,8,LGE_4CH,,,,,
tfl2d_25_t1_2ch,8,,,,,,
DE_seg_high-res_LAX_3Ch_4Ch_2Ch_PSIR,8,LGE_LAX,,,,,
T1_6_SLICES__overnemen_met_meas_par._blanco_T1_map_User1_MOCO_T1,8,,,,,,
LGE_ph_sens_2_cycl,8,LGE_SAX,,,,,
tfi_single-shot_4ch,8,,,,,,
tfl2d_25_t1_DHE_2ch,8,,,,,,
tfl2d_25_2_cycles_2CV_MAG,8,LGE_2CH,,,,,
tfi2d_single-shot_ph_sens_PSIR,8,LGE_SAX,,,,,
LGE_ph_sens_2_cycl_PSIR,8,LGE_SAX,,,,,
fl4_200_flow-pulm-a_P,8,,,,,,
tfl2d_25_2_cycles_2CV_PSIR,8,LGE_2CH,,,,,
ortT1_6_SLICES__overnemen_met_meas_par._blanco_T1_map_User1_MOCO,8,,,,,,
3D-DHE-3CHV-BH,8,,,,,,
DE_overview_LE_SAXs_PSIR,7,LGE_SAX,,,,,
TI_scout_2cycles_4CV,7,,,,,,
tse_11_db_t1_iPAT_SAXs,7,,,,,,
tf2d15_retro_iPAT-baffles,7,,,,,,
tfi_single-shot_(4CHV)_DOORADEMEN,7,LGE_4CH,,,,,
t1_db_korte_as_7_sl_trig1,7,,,,,,
Trufi_Cine_SAX_b15,7,,,,,,
DE_overview_LE_LAX_4Ch_3Ch_2Ch_MAG,7,LGE_LAX,,,,,
tf2d15_cine_4-kamer+2,7,,,,,,
DefineLongaxis_3Ch_2Ch_4Ch,7,,,,,,
tse_17_db_t2_FS_SHIM_BOX_OP_COR,7,,,,,,
Dynamic_Perfusie_test_doorademen_3Ch,7,,,,,,
DE_High-Res_LAX_3Ch_PSIR,7,LGE_3CH,,,,,
DE_overview_SAX_3Ch_2Ch_4Ch_MAG,7,LGE_SAX,,,,,
DE_overview_LE_SAXs_MAG,7,LGE_SAX,,,,,
SENC,7,,,,,,
DE_overview_SAX_3Ch_4Ch_2Ch_MAG,7,LGE_SAX,,,,,
tf2d16_radial_hr-pulm-50ph,7,,,,,,
tfi_singleshot_10sl_tra,7,,,,,,
2D_Delayed_280,7,,,,,,
T2_TSE_256_4chv,7,,,,,,
PSIR_TFE_BH_TI260,7,,,,,,
OPT_axial_db_t2_fatsat_korte_as,7,,,,,,
Dynamic_Perfusie_test_doorademen_4Ch,7,,,,,,
DE_overview_SAX_3Ch_4Ch_2Ch_PSIR,7,LGE_SAX_LAX,,,,,
B-TFE_2CH_RT,7,,,,,,
trufi_loc_multi_@c,7,,,,,,
tfl2d_25_2_cycles_3CV_PSIR,7,LGE_3CH,,,,,
Define_SAXs,7,,,,,,
p_6_SLICES__dist_fact.evt_aanpassen.zelf_instellen_User1_MOCO_T1,7,,,,,,
Dynamic_Perfusie_test_doorademen_2Ch,7,,,,,,
DE_overview_4Ch_SAX_2Ch_3Ch_PSIR,7,LGE_SAX_LAX,,,,,
db_stir_2-kamer,7,,,,,,
DE_High-Res_LAX_3Ch_MAG,7,LGE_LAX,,,,,
SURVEY_tra,7,,,,,,
trufi_korte_as,7,,,,,,
T1Map_6_SLICES__dist_fact.evt_aanpassen.zelf_instellen_User1,7,,,,,,
tfl2d_25_t1_4_ch,7,,,,,,
T1_native,7,,,,,,
BH_Cine_4CH,7,,,,,,
tfl2d_25_2_cycles_3CV_MAG,7,LGE_3CH,,,,,
tf2d15_cine_4-kamer-2,7,,,,,,
4CH_SSMP,7,,,,,,
tfi65_psir_4sl-2bh-4ch_sat_.slab_MAG,7,LGE_4CH,,,,,
Cine_Lange_as_L,7,,,,,,
tfl_sr_dyn_192_4sl_HIGH_RES._TEST,7,,,,,,
DE_overview_4Ch_SAX_2Ch_3Ch_MAG,7,LGE_SAX_LAX,,,,,
tse_17_db_t2_iPAT_SA_spair,7,,,,,,
Gre_Cine_SAX_b13,7,SAX,,,,,
tfi_psir_single-shot_1slC_PSIR,7,LGE_SAX,,,,,
1Map_6_SLICES__dist_fact.evt_aanpassen.zelf_instellen_User1_MOCO,7,,,,,,
PSIR_L2CH,7,LGE_2CH,,,,,
DE_overview_SAX_3Ch_2Ch_4Ch_PSIR,7,LGE_SAX_LAX,,,,,
tfi_psir_single-shot_1slC_MAG,7,,,,,,
tfl2d_25_t1_2cycles-sa,7,,,,,,
tfi65_psir_4sl-2bh-4ch_sat_.slab_PSIR,7,LGE_4CH,,,,,
tfl_first-pass_3sl,6,,,,,,
fl4_150_tp_retro_pu_iPAT@c,6,,,,,,
TRUFI_CINE_4C_STACK,6,,,,,,
tf2d_SA_Stress_Level2,6,,,,,,
CV_postcontrast_hybridmolli_SA_NIET_copy_everything_v.pre,6,,,,,,
dynamic_rust_ctr,6,,,,,,
tfi3D_nav_fs_bh_iPAT,6,,,,,,
trufi_SAG_GROTE_VATEN,6,,,,,,
dynamic_stress_4_GROEPEN_(enkele_dosis_ctr),6,,,,,,
dynamicstress,6,,,,,,
BH_Cine_2CH,6,,,,,,
dynamic-stress,6,,,,,,
3D-DHE-SA-BH,6,,,,,,
viability,6,,,,,,
AMC_HART___T1_BB,6,,,,,,
dynamic_rust_perfusie_3x_SAX_en_LAX_voor_ctr,6,,,,,,
DefineLAX_na_3Ch_2Ch_4Ch,6,,,,,,
tf2d_SA_Rest,6,,,,,,
Dynamic_Stress_doorademen_4Ch,6,,,,,,
Dynamic_Stress_doorademen_4Ch_MOCO,6,,,,,,
___________2B_TI_SCOUT,6,,,,,,
tf2d16_radial_hr-pulm,6,,,,,,
dynamic_stess,6,,,,,,
fl4_150_ip_retro_bh_iPAT@c_P,6,,X,,,,
TI-Scout_SAX_b4,6,,,,,,
TSE-BB-tra,6,,,,,,
dynamic_tSTRESS,6,,,,,,
tf2d_SA_Stress_Level1,6,,,,,,
fl4_150_ip_retro_bh_iPAT@c,6,,X,,,,
fl4_150_tp_retro_pu_iPAT@c_P,6,,,,,,
trufi_3-kamer,6,,,,,,
tf2d_rt_REAL_TIME_LAX_non_trigger_doorademen_100_phases,6,,,,,,
Trufi_Cine_1sl_SAX,6,,,,,,
SA_MSMP,6,,,,,,
Heart_morphology_t1_tse,6,,,,,,
SURVEY_TRA,6,,,,,,
LA,6,,,,,,
tf3d16_3D_iPAT,6,,,,,,
fl4_250_flow-pulm-a,6,,,,,,
FLASH_2CHV_CINE,6,,,,,,
dynamic_TEST,6,,,,,,
tse_11_db_tra_mbh_korte_as,6,,,,,,
dynamic_stesS,6,,,,,,
dynamic_REST,6,,,,,,
DE_High-Res_LAX_3Ch_2Ch_4Ch_PSIR,6,LGE_LAX,,,,,
tfi3D_nav_sag_selective_Serie,6,,,,,,
QF_Pulm-100,6,,,,,,
4CH,6,,,,,,
Dynamic_Stress_doorademen_2Ch,6,,,,,,
tf2d_LA_Stress_Level2,6,,,,,,
fl4_250_flow-pulm-a_P,6,,,,,,
tf2d15_retro_iPAT-3chv-50,6,,,,,,
QF_Pulm-200,6,,,,,,
Dynamic_Stress_doorademen_3Ch,6,,,,,,
Dynamic_Stress_doorademen_2Ch_MOCO,6,,,,,,
tf2d_LA_Stress_Level1,6,,,,,,
Dynamic_Perfusie_test_doorademen_4Ch_MOCO,6,,,,,,
Dynamic_Perfusie_test_doorademen_3Ch_MOCO,6,,,,,,
Function___TFE_BH,6,,,,,,
dynamic_ctr,6,,,,,,
FLASH_IN_FASE_4ch_cine_metaalartefacten,6,,,,,,
OPT_short_axis_db_stir,6,,,,,,
3CH,6,,,,,,
fl2d9_retro_3slices@c,6,,,,,,
DE_overview_3Ch_4Ch_2Ch_SAX_MAG,6,LGE_SAX_LAX,,,,,
tse_17_db_t2_iPAT_SPAIR,6,,,,,,
FS_T2TSE_LAX_4Ch_2Ch_3Ch,6,,,,,,
tfi_single-shot_doorademen(3CHV),6,,,,,,
tse_17_db_t2__fs_iPAT_SAXs,6,,,,,,
dynamic_Rest,6,,,,,,
FALLOT_PROTSURVEY,6,,,,,,
PSIR_TFE_BH_3CH_TI_260,6,LGE_3CH,,,,,
Trufi_Cine_prospectief_SAX_b12,6,,,,,,
DE_High-Res_LAX_3Ch_2Ch_4Ch_MAG,6,LGE_LAX,,,,,
Dynamic_Stress_doorademen_3Ch_MOCO,6,,,,,,
DE_overview_3Ch_4Ch_2Ch_SAX_PSIR,6,LGE_SAX_LAX,,,,,
tfl2d_25_t1_DHE_bh_2ch,6,,,,,,
PSIR_SA,6,LGE_SAX,,,,,
Dynamic_Perfusie_test_doorademen_2Ch_MOCO,6,,,,,,
PSIR_4CH,6,LGE_4CH,,,,,
BB_SSh_BH,5,,,,,,
locator_3ch,5,,,,,,
tfl20_t1_psir_seg_iPAT_PSIR,5,LGE_SAX,,,,,
tfi_single-shot_SA,5,,,,,,
T2_fsat_BB_SA,5,,,,,,
tfl20_t1_psir_seg_iPAT_MAG,5,LGE_SAX,,,,,
DE_High-Res_SAX_b10_MAG,5,LGE_SAX,,,,,
Cine_tra,5,,,,,,
locator_2ch,5,,,,,,
Heart_angiography_mra_3d_t,5,,,,,,
tirm_15_db_4ch,5,,,,,,
haste_16-sl_tra_db_pace,5,,,,,,
tfi65_psir_4sl-2bh-4ch_MAG,5,LGE_4CH,,,,,
DE_High-Res_SAX_b10_PSIR,5,LGE_SAX,,,,,
TRUFI_3CHV_CINE,5,,,,,,
fl4_250_flow_aorta_P,5,,,,,,
T1_TSE_BBTRA,5,,,,,,
fl4_150_flow-abd-aorta_P,5,,,,,,
SA_T1_BB,5,,,,,,
db_stir_sax-kamer,5,,,,,,
sBTFE_BH_RVOT,5,,,,,,
Dynamic_Stress_SAX_b5s,5,,,,,,
tfl_psir_2C_MAG,5,LGE_2CH,,,,,
FALLOT_PROTQ_FLOW_AORTA,5,,,,,,
tfi_single-shot_14sl_iPAT-AX,5,,,,,,
tfi65_psir_4sl-2bh-4ch_PSIR,5,LGE_4CH,,,,,
PD_TSE_BB_SA,5,,,,,,
VIABILITY,5,,,,,,
Dynamic_Stress_SAX_b4s,5,,,,,,
TI_270ms_4ch_4Ch,5,,,,,,
3D-DHE-2CHV-BH,5,,,,,,
PSIR_3CH,5,LGE_3CH,,,,,
BTFE_SVC,5,,,,,,
Trufi_Cine_Aorta_Cor_Aorta_Coronaal,5,,,,,,
FALLOT_PROTSAG_RVOT_PA,5,,,,,,
BTFE_AO-COR.,5,,,,,,
fl3d_51seg_ir,5,,,,,,
tfl2d_25_t1_3ch,5,,,,,,
FALLOT_PROTSA_MSMP,5,,,,,,
localizer,5,,X,,,,
perfusie_3sl_16615_TEST,5,,,,,,
tfi_single-shot_(SA)-_lang_TI,5,,,,,,
tf2d16_radial_hr-MITR.,5,,,,,,
tfl2d_25_t1-SA-_DHE(BREATH-HELD)-SA,5,,,,,,
tf2d15_retro_iPAT-pul-50ph,5,,,,,,
SURVEY_ecg_draden_vastplakken,5,,,,,,
___________cine_sa_CLE,5,,,,,,
tfi_single-shot_(sa)_doorademen,5,,,,,,
locator_sa,5,,,,,,
DE_fl3d_51seg_ir,5,,X,,,,
TSE-BB-SA_niet_bij_fabry,5,,,,,,
fl4_250_flow_aorta,5,,,,,,
Trufi_Cine_3ch_3Ch,5,,,,,,
Thorax_tra,5,,,,,,
tfl2d_25_t1_DHE(BREATH-HELD)_2CH,5,,,,,,
gre_8echos_heart,5,,,,,,
cine_retro-triggered,5,SAX_LAX,also includes other views (2 3 4 chamber),,,,
T1_DB_LAX_2Ch_3Ch_4Ch,5,,,,,,
tfl_psir_2C_PSIR,5,LGE_2CH,,,,,
fl4_150_flow-abd-aorta,5,,,,,,
TI_300ms_4ch_4Ch,5,,,,,,
tf2d15_retro_iPAT-4ch-25ph,5,,,,,,
B-TFE_BH_12SL,5,,,,,,
DHE-3D_BH_2_slabs_3_ch,5,,,,,,
tf25_t1_rephased_275,5,,,,,,
tfl2d_25_t1_DHE(BREATH-HELD)_3CH,5,,,,,,
BTFE-AO-SAG,4,,,,,,
hart-Groenink_T1-se-tra-15,4,,,,,,
gre_8echos_heart-FINAL,4,,,,,,
Dynamic_Rest_SAX_b2s_MOCO,4,,,,,,
Dynamic_Rest_SAX_b3s_MOCO,4,,,,,,
T1Map_1_SLICE_MID__na_1_min.REGADENOSON_SAX_b2s_MOCO,4,,,,,,
hart-Groenink_FLOW-AORTA-2,4,,,,,,
BTFE-TRA,4,,,,,,
4chamber_axis_delayed_PSIR,4,LGE_4CH,,,,,
tfl2d_25_2_cycles_4CV_TI550_PSIR,4,LGE_4CH,,,,,
Perfusion__sVIAB_3D_BH,4,,,,,,
Dynamic_Stress_4Ch,4,,,,,,
DE_overview_3Ch_SAX_4Ch_2Ch_MAG,4,LGE_SAX_LAX,,,,,
LGE_SS_SAX_MAG,4,LGE_SAX,,,,,
ARVD_______4CH_ssmp,4,,,,,,
Dynamic_Rest_SAX_b2s,4,,,,,,
Dynamic_Rest_SAX_b5s_MOCO,4,,,,,,
tf2d_rt_REAL_TIME_(SA),4,,,,,,
FLASH_IN_FASE_2ch_cine_metaalartefacten,4,,,,,,
"ep2d_diff_b0,b50_hart_nieuw",4,,,,,,
tfl_sr_dyn_160_4sl_Perf_test,4,,,,,,
tfl2d_25_t1-4ch-DHE(BREATH-HOLD)-4ch,4,,,,,,
FLASH_CINE,4,,,,,,
DE_overview_4Ch_2Ch_SAX_3Ch_PSIR,4,LGE_SAX_LAX,,,,,
tfl_sr_dyn_160_4sl_Perf,4,,,,,,
MRA_LONGVEN2D_bolustrak,4,,,,,,
T1Map_1_SLICE_MID__na_1_min.REGADENOSON_SAX_b2s_MOCO_T1,4,,,,,,
TSE-BB-TRANSVERSAAL,4,,,,,,
tf2d15_retro_iPAT-3ch-25ph,4,,,,,,
tfl2d_25_t1_4ch,4,,,,,,
trufi_loc_4_kamer_iP_bh,4,,,,,,
CZ_VIAB_TRI,4,,,,,,
Dynamic_Rest_SAX_b3s,4,,,,,,
DE_overview_3Ch_4Ch_SAX_PSIR,4,LGE_SAX_LAX,,,,,
IR_2CH_BH360_CLEAR,4,,,,,,
T1Map_1_SLICE_MID__na_1_min.REGADENOSON_SAX_b2s,4,,,,,,
Trufi_Cine_User1,4,,,,,,
DynamicRest_2Ch,4,,,,,,
T1Map_ShortT1__MID__post_ctr_SAX_b2s,4,,,,,,
TI_270ms_4Ch,4,,,,,,
T1_BB_SA,4,,,,,,
VIAB.SA,4,,,,,,
MPR_TRA,4,,,,,,
haste_SAG-db_2bh_iPAT-sag,4,,,,,,
tse_17_db_t2_iPAT,4,,,,,,
AMC_HART___Interact_2,4,,,,,,
tfl_sr_dyn_160_4sl_Perf_MOCO_FILT,4,,,,,,
s3D_SCAR,4,,,,,,
tfi_single-shot_8sl_iPAT-4CH,4,,,,,,
DynamicStress_2Ch_MOCO,4,,,,,,
DynamicRest_SAX_b1s_MOCO,4,,,,,,
locator_4ch,4,,,,,,
DynamicStress_SAX_b1s,4,,,,,,
DynamicRest_SAX_b1s,4,,,,,,
tfi_single-shot_4CH+doorademen,4,,,,,,
tfl2d_25_t1_4_CH,4,,,,,,
DynamicStress_SAX_b1s_MOCO,4,,,,,,
4chamber_axis_delayed_MAG,4,LGE_4CH,,,,,
fl2d7_retro,4,,,,,,
